feature,task1,task2,wilcoxon_stat,p,cohen_dz,n_pairs,p_fdr,sig_fdr05
eeg_conventional_ratio_theta_alpha,cognitive_control,rest,32.0,3.143441063002683e-10,1.3402880993682176,44,1.2573764252010733e-09,True
eeg_conventional_relative_alpha,gambling,cognitive_control,424.0,0.41437451547221826,-0.23176294440450762,44,0.45204492596969265,False
eeg_conventional_relative_alpha,gambling,rest,14.0,1.2505552149377763e-11,-1.2672794779062837,44,8.575235759573324e-11,True
eeg_conventional_relative_alpha,cognitive_control,rest,8.0,2.8421709430404007e-12,-1.3627615884749344,44,2.7284841053187847e-11,True
eeg_conventional_relative_beta,gambling,cognitive_control,484.0,0.9034548557265225,0.008512758536333702,44,0.9034548557265225,False
eeg_conventional_relative_beta,gambling,rest,352.0,0.09658928540682155,0.14461179466171176,44,0.12878571387576207,False
eeg_conventional_relative_beta,cognitive_control,rest,321.0,0.042082897992031576,0.15526429648688034,44,0.061211487988409564,False
eeg_conventional_relative_delta,gambling,cognitive_control,428.0,0.44146738626943716,0.16873824537951265,44,0.4708985453540663,False
eeg_conventional_relative_delta,gambling,rest,2.0,3.410605131648481e-13,1.061251831133767,44,8.185452315956354e-12,True
eeg_conventional_relative_delta,cognitive_control,rest,4.0,7.958078640513122e-13,1.1472097588682115,44,9.549694368615746e-12,True
eeg_conventional_relative_gamma,gambling,cognitive_control,336.0,0.06395960447559901,-0.2253751722583659,44,0.0877160289951072,False
eeg_conventional_relative_gamma,gambling,rest,83.0,1.2044120012433268e-07,0.350919507011236,44,3.042725055772615e-07,True
eeg_conventional_relative_gamma,cognitive_control,rest,83.0,1.2044120012433268e-07,0.4652854912981063,44,3.042725055772615e-07,True
eeg_conventional_relative_theta,gambling,cognitive_control,185.0,0.00016963173925432784,0.6338731096629207,44,0.0003540140645307711,True
eeg_conventional_relative_theta,gambling,rest,215.0,0.0007802155257650156,0.5867104061733557,44,0.00149801380946883,True
eeg_conventional_relative_theta,cognitive_control,rest,296.0,0.019470065238010648,0.41213681721939976,44,0.03222631487670728,True
