subject_id,d_median_cognitive_control,d_median_gambling,d_median_rest,e_median_cognitive_control,e_median_gambling,e_median_rest,m_median_cognitive_control,m_median_gambling,m_median_rest
sub-S210127,0.04464189719874408,0.08499784953892227,0.19457786530256266,-0.0299138305708766,0.0018105928320437496,0.08761377865448593,0.0175773970549926,-0.009485288523137524,-0.07983933459036045
sub-S210128,0.1191773377358913,0.008300051558762775,0.062351969070732524,0.0794214179186383,0.0385425630956888,-0.0719529509078711,-0.08726360462605948,0.0135395696852356,0.03779028495773675
sub-S210202,0.16083858162164685,0.11906629428267475,0.1664373781532049,-0.036618391168303774,-0.030781417619436924,0.04538807738572355,-0.020659830828662924,0.004348850809037675,-0.13236752897500986
sub-S210203,0.1347331032156944,0.0927780177444219,0.05454842792823909,0.07270600600168106,0.005022305296733975,0.005857991054654125,0.005180274136364474,-0.01590068847872315,0.01573564880527555
sub-S210204,0.11535918153822414,0.08300348371267316,0.06063268333673473,-0.003766170702874678,0.036883562337607104,-0.01411321805790065,0.016784748062491403,-0.00047830468975007534,-0.015562099288217675
sub-S210208,2.5387504138050295e-05,0.0111876123701222,-0.004966264474205676,0.0532952880021184,-0.011738410947145901,-0.009862459148280356,0.03671208664309232,0.0844973865896463,0.04387431358918542
sub-S210209,0.06301502510905262,0.06859976239502423,0.06577144004404546,-0.08605485968291755,-0.06219082418829197,0.006345872534438952,0.01845024857902895,0.01056985557079315,0.007990996818989524
sub-S210215,0.0281772296875715,0.14008619263768193,0.058751409174874376,0.04168820590712125,0.028709191828966127,-0.04538315115496517,-0.003638299458543824,-0.03429380123270675,0.0050003807991743
sub-S210217,0.048005746561102555,0.035842000972479526,0.16643669735640282,0.02492505498230458,0.034822736168280174,0.0743328302633017,-0.01290993718430395,0.026387675898149575,-0.06003067269921298
sub-S210224,0.04725319612771268,0.009679955430328825,0.06402870733290911,0.06165144033730028,0.024276357435155625,0.03163678734563285,0.010691264062188576,0.03998893406242127,0.017584119457751474
sub-S210225,0.062244555214419926,0.05913027934730045,0.03574381163343785,0.010226047714240826,0.02418050472624597,0.008471292734611776,0.008322031819261576,0.0358801803085953,0.02068628312554205
sub-S210315,0.011259687133133401,0.008692433126270724,0.007581532001495397,0.0525701288133859,-0.06688439287245267,0.014523958787322051,0.013560815947130324,0.0362556590698659,0.00286248698830605
sub-S210316,0.04628229886293407,0.06921154912561175,-0.00926375389099125,-0.028101166710257523,0.028357529608911122,-0.07652686815708873,0.009956464404240275,0.022611955297179475,0.054839905351400375
sub-S210317,0.0592784266918897,0.03619589889422053,0.0335214748047292,0.009299587458372147,0.028765805647708448,-0.02401658240705725,0.025540937902405823,0.0352748829172924,0.017837427556514723
