dataset_id,subject_id,session_id,condition_label,task_label,out_group,in_group,out_dim,in_dim,n_timepoints,block_trace_mean,block_frobenius_mean,block_anisotropy_mean,c_sym_mean,c_rot_mean
ds004511:sub-S200120:ses-01_gambling_run-01,sub-S200120,ses-01,,gambling,m,d,3,3,894,,0.2298693060874939,,0.15652417259861692,0.1730119760046136
ds004511:sub-S200120:ses-01_gambling_run-01,sub-S200120,ses-01,,gambling,m,e,3,3,894,,0.16805556416511536,,0.13070293441748193,0.13947805466851265
ds004511:sub-S200120:ses-01_gambling_run-01,sub-S200120,ses-01,,gambling,d,m,3,3,894,,0.22947026789188385,,0.15652417259861692,0.1730119760046136
ds004511:sub-S200120:ses-01_gambling_run-01,sub-S200120,ses-01,,gambling,d,d,3,3,894,0.017831850629737415,0.2277592122554779,67.64017836892899,,
ds004511:sub-S200120:ses-01_gambling_run-01,sub-S200120,ses-01,,gambling,d,e,3,3,894,,0.18755267560482025,,0.1312474849648457,0.15521051499667585
ds004511:sub-S200120:ses-01_gambling_run-01,sub-S200120,ses-01,,gambling,e,m,3,3,894,,0.20550847053527832,,0.13070293441748193,0.13947805466851265
ds004511:sub-S200120:ses-01_gambling_run-01,sub-S200120,ses-01,,gambling,e,d,3,3,894,,0.21325045824050903,,0.1312474849648457,0.15521051499667585
ds004511:sub-S200120:ses-01_gambling_run-01,sub-S200120,ses-01,,gambling,e,e,3,3,894,-0.019870927350041385,0.17647914588451385,133.4277213694532,,
ds004511:sub-S200121:ses-01_cognitive_control_run-01,sub-S200121,ses-01,,cognitive_control,m,m,3,3,244,0.01641927510080096,0.2521555721759796,104.40159281355436,,
ds004511:sub-S200121:ses-01_cognitive_control_run-01,sub-S200121,ses-01,,cognitive_control,m,d,3,3,244,,0.2803135812282562,,0.17618426222537384,0.2026082401270749
ds004511:sub-S200121:ses-01_cognitive_control_run-01,sub-S200121,ses-01,,cognitive_control,m,e,3,3,244,,0.23370584845542908,,0.18426223239693484,0.20875535661079844
ds004511:sub-S200121:ses-01_cognitive_control_run-01,sub-S200121,ses-01,,cognitive_control,d,m,3,3,244,,0.24337944388389587,,0.17618426222537384,0.2026082401270749
ds004511:sub-S200121:ses-01_cognitive_control_run-01,sub-S200121,ses-01,,cognitive_control,d,d,3,3,244,-0.05208345027602293,0.23176291584968567,47.98663501710188,,
ds004511:sub-S200121:ses-01_cognitive_control_run-01,sub-S200121,ses-01,,cognitive_control,d,e,3,3,244,,0.19946682453155518,,0.17093274525565202,0.1828358786821854
ds004511:sub-S200121:ses-01_cognitive_control_run-01,sub-S200121,ses-01,,cognitive_control,e,m,3,3,244,,0.30812665820121765,,0.18426223239693484,0.20875535661079844
ds004511:sub-S200121:ses-01_cognitive_control_run-01,sub-S200121,ses-01,,cognitive_control,e,d,3,3,244,,0.2870400846004486,,0.17093274525565202,0.1828358786821854
ds004511:sub-S200121:ses-01_cognitive_control_run-01,sub-S200121,ses-01,,cognitive_control,e,e,3,3,244,-0.006604665080199904,0.24148567020893097,52.742845763925644,,
ds004511:sub-S200121:ses-01_rest_run-01,sub-S200121,ses-01,,rest,m,m,3,3,125,0.05825726350396872,0.2661415636539459,100.463914686203,,
ds004511:sub-S200121:ses-01_rest_run-01,sub-S200121,ses-01,,rest,m,d,3,3,125,,0.19459305703639984,,0.1439239995777607,0.1774811002612114
ds004511:sub-S200121:ses-01_rest_run-01,sub-S200121,ses-01,,rest,m,e,3,3,125,,0.1444171965122223,,0.1542758110165596,0.16636142137646676
ds004511:sub-S200121:ses-01_rest_run-01,sub-S200121,ses-01,,rest,d,m,3,3,125,,0.24958953261375427,,0.1439239995777607,0.1774811002612114
ds004511:sub-S200121:ses-01_rest_run-01,sub-S200121,ses-01,,rest,d,d,3,3,125,-0.043066480223089454,0.2047298699617386,31.04653733062744,,
ds004511:sub-S200121:ses-01_rest_run-01,sub-S200121,ses-01,,rest,d,e,3,3,125,,0.17093805968761444,,0.1361206665933132,0.13935782939195632
ds004511:sub-S200121:ses-01_rest_run-01,sub-S200121,ses-01,,rest,e,m,3,3,125,,0.28243741393089294,,0.1542758110165596,0.16636142137646676
ds004511:sub-S200121:ses-01_rest_run-01,sub-S200121,ses-01,,rest,e,d,3,3,125,,0.21471397578716278,,0.1361206665933132,0.13935782939195632
ds004511:sub-S200121:ses-01_rest_run-01,sub-S200121,ses-01,,rest,e,e,3,3,125,-0.019873661875724792,0.1707334816455841,41.04695964050293,,
ds004511:sub-S200121:ses-01_gambling_run-01,sub-S200121,ses-01,,gambling,m,m,3,3,934,0.0317961675773287,0.21661756932735443,54.606390604242776,,
ds004511:sub-S200121:ses-01_gambling_run-01,sub-S200121,ses-01,,gambling,m,d,3,3,934,,0.22336627542972565,,0.15441470206725139,0.16876112651757944
ds004511:sub-S200121:ses-01_gambling_run-01,sub-S200121,ses-01,,gambling,m,e,3,3,934,,0.1856621652841568,,0.15460139895316685,0.16747175526009508
ds004511:sub-S200121:ses-01_gambling_run-01,sub-S200121,ses-01,,gambling,d,m,3,3,934,,0.2254844456911087,,0.15441470206725139,0.16876112651757944
ds004511:sub-S200121:ses-01_gambling_run-01,sub-S200121,ses-01,,gambling,d,d,3,3,934,-0.04017627559182468,0.21798177063465118,28.523163891961794,,
ds004511:sub-S200121:ses-01_gambling_run-01,sub-S200121,ses-01,,gambling,d,e,3,3,934,,0.18192152678966522,,0.14206219247763685,0.15957787818010155
ds004511:sub-S200121:ses-01_gambling_run-01,sub-S200121,ses-01,,gambling,e,m,3,3,934,,0.25045010447502136,,0.15460139895316685,0.16747175526009508
ds004511:sub-S200121:ses-01_gambling_run-01,sub-S200121,ses-01,,gambling,e,d,3,3,934,,0.2364768534898758,,0.14206219247763685,0.15957787818010155
ds004511:sub-S200121:ses-01_gambling_run-01,sub-S200121,ses-01,,gambling,e,e,3,3,934,-0.013363374751639538,0.18674875795841217,185.1937760242303,,
ds004511:sub-S200122:ses-01_cognitive_control_run-01,sub-S200122,ses-01,,cognitive_control,m,m,3,3,259,-0.04520160611539101,0.21480561792850494,111.52852728652218,,
ds004511:sub-S200122:ses-01_cognitive_control_run-01,sub-S200122,ses-01,,cognitive_control,m,d,3,3,259,,0.17860868573188782,,0.13025621914495372,0.1564540419741947
ds004511:sub-S200122:ses-01_cognitive_control_run-01,sub-S200122,ses-01,,cognitive_control,m,e,3,3,259,,0.15246957540512085,,0.14417604211732227,0.14745352808458004
ds004511:sub-S200122:ses-01_cognitive_control_run-01,sub-S200122,ses-01,,cognitive_control,d,m,3,3,259,,0.218512162566185,,0.13025621914495372,0.1564540419741947
ds004511:sub-S200122:ses-01_cognitive_control_run-01,sub-S200122,ses-01,,cognitive_control,d,d,3,3,259,0.019944961277163914,0.1911451518535614,38.672303756691775,,
ds004511:sub-S200122:ses-01_cognitive_control_run-01,sub-S200122,ses-01,,cognitive_control,d,e,3,3,259,,0.16707655787467957,,0.12359510539782784,0.13584520709503112
ds004511:sub-S200122:ses-01_cognitive_control_run-01,sub-S200122,ses-01,,cognitive_control,e,m,3,3,259,,0.2378513216972351,,0.14417604211732227,0.14745352808458004
ds004511:sub-S200122:ses-01_cognitive_control_run-01,sub-S200122,ses-01,,cognitive_control,e,d,3,3,259,,0.19580091536045074,,0.12359510539782784,0.13584520709503112
ds004511:sub-S200122:ses-01_cognitive_control_run-01,sub-S200122,ses-01,,cognitive_control,e,e,3,3,259,-0.003790405564527944,0.18040280044078827,42.453707452906606,,
ds004511:sub-S200122:ses-01_rest_run-01,sub-S200122,ses-01,,rest,m,m,3,3,125,0.044574333216995,0.4243939518928528,96.22128658294677,,
ds004511:sub-S200122:ses-01_rest_run-01,sub-S200122,ses-01,,rest,m,d,3,3,125,,0.29847198724746704,,0.23065719735622406,0.2501007388830185
ds004511:sub-S200122:ses-01_rest_run-01,sub-S200122,ses-01,,rest,m,e,3,3,125,,0.21825197339057922,,0.18539237621426582,0.18937530034780503
ds004511:sub-S200122:ses-01_rest_run-01,sub-S200122,ses-01,,rest,d,m,3,3,125,,0.36622002720832825,,0.23065719735622406,0.2501007388830185
ds004511:sub-S200122:ses-01_rest_run-01,sub-S200122,ses-01,,rest,d,d,3,3,125,-0.029077262111008167,0.3005107045173645,29.141260942459105,,
ds004511:sub-S200122:ses-01_rest_run-01,sub-S200122,ses-01,,rest,d,e,3,3,125,,0.22456443309783936,,0.16272577702999114,0.20442851155996322
ds004511:sub-S200122:ses-01_rest_run-01,sub-S200122,ses-01,,rest,e,m,3,3,125,,0.2989341914653778,,0.18539237621426582,0.18937530034780503
ds004511:sub-S200122:ses-01_rest_run-01,sub-S200122,ses-01,,rest,e,d,3,3,125,,0.28928840160369873,,0.16272577702999114,0.20442851155996322
ds004511:sub-S200122:ses-01_rest_run-01,sub-S200122,ses-01,,rest,e,e,3,3,125,-0.09024007596820594,0.22573477029800415,50.59921081161499,,
ds004511:sub-S200122:ses-01_gambling_run-01,sub-S200122,ses-01,,gambling,m,m,3,3,902,-0.007987453322186488,0.3093009889125824,77.18464500174554,,
ds004511:sub-S200122:ses-01_gambling_run-01,sub-S200122,ses-01,,gambling,m,d,3,3,902,,0.27858641743659973,,0.2343943552413497,0.24504526498461113
ds004511:sub-S200122:ses-01_gambling_run-01,sub-S200122,ses-01,,gambling,m,e,3,3,902,,0.23559878766536713,,0.23334368026325947,0.24882017994121938
ds004511:sub-S200122:ses-01_gambling_run-01,sub-S200122,ses-01,,gambling,d,m,3,3,902,,0.3774639964103699,,0.2343943552413497,0.24504526498461113
ds004511:sub-S200122:ses-01_gambling_run-01,sub-S200122,ses-01,,gambling,d,d,3,3,902,-0.09362607715809367,0.34393662214279175,77.09756576129443,,
ds004511:sub-S200122:ses-01_gambling_run-01,sub-S200122,ses-01,,gambling,d,e,3,3,902,,0.28039732575416565,,0.20760639001947814,0.26395726543407216
ds004511:sub-S200122:ses-01_gambling_run-01,sub-S200122,ses-01,,gambling,e,m,3,3,902,,0.4104296863079071,,0.23334368026325947,0.24882017994121938
ds004511:sub-S200122:ses-01_gambling_run-01,sub-S200122,ses-01,,gambling,e,d,3,3,902,,0.3775325417518616,,0.20760639001947814,0.26395726543407216
ds004511:sub-S200122:ses-01_gambling_run-01,sub-S200122,ses-01,,gambling,e,e,3,3,902,0.0859489187635915,0.2985447645187378,65.1074439720674,,
ds004511:sub-S200131:ses-01_cognitive_control_run-01,sub-S200131,ses-01,,cognitive_control,m,m,3,3,264,-0.015731045985100507,0.25717467069625854,180.21031283338866,,
ds004511:sub-S200131:ses-01_cognitive_control_run-01,sub-S200131,ses-01,,cognitive_control,m,d,3,3,264,,0.20526672899723053,,0.1437137835574421,0.1747375559202875
ds004511:sub-S200131:ses-01_cognitive_control_run-01,sub-S200131,ses-01,,cognitive_control,m,e,3,3,264,,0.15122437477111816,,0.12422064254342606,0.1304708830165592
ds004511:sub-S200131:ses-01_cognitive_control_run-01,sub-S200131,ses-01,,cognitive_control,d,m,3,3,264,,0.2424866110086441,,0.1437137835574421,0.1747375559202875
ds004511:sub-S200131:ses-01_cognitive_control_run-01,sub-S200131,ses-01,,cognitive_control,d,d,3,3,264,-0.06555140361359174,0.2129846066236496,227.51439106374076,,
ds004511:sub-S200131:ses-01_cognitive_control_run-01,sub-S200131,ses-01,,cognitive_control,d,e,3,3,264,,0.15264058113098145,,0.11503639830643254,0.1282860087936349
ds004511:sub-S200131:ses-01_cognitive_control_run-01,sub-S200131,ses-01,,cognitive_control,e,m,3,3,264,,0.20071063935756683,,0.12422064254342606,0.1304708830165592
ds004511:sub-S200131:ses-01_cognitive_control_run-01,sub-S200131,ses-01,,cognitive_control,e,d,3,3,264,,0.1875455379486084,,0.11503639830643254,0.1282860087936349
ds004511:sub-S200131:ses-01_cognitive_control_run-01,sub-S200131,ses-01,,cognitive_control,e,e,3,3,264,0.042699220274560946,0.14103581011295319,21.97382105480541,,
ds004511:sub-S200131:ses-01_rest_run-01,sub-S200131,ses-01,,rest,m,m,3,3,124,-0.0017469265317964938,0.2742170989513397,313.1639198776214,,
ds004511:sub-S200131:ses-01_rest_run-01,sub-S200131,ses-01,,rest,m,d,3,3,124,,0.2051769644021988,,0.18847389381018378,0.1874846475979974
ds004511:sub-S200131:ses-01_rest_run-01,sub-S200131,ses-01,,rest,m,e,3,3,124,,0.12308784574270248,,0.15778756442089234,0.17460520361219684
ds004511:sub-S200131:ses-01_rest_run-01,sub-S200131,ses-01,,rest,d,m,3,3,124,,0.30977874994277954,,0.18847389381018378,0.1874846475979974
ds004511:sub-S200131:ses-01_rest_run-01,sub-S200131,ses-01,,rest,d,d,3,3,124,-0.07329352290159272,0.24518054723739624,44.34361942737333,,
ds004511:sub-S200131:ses-01_rest_run-01,sub-S200131,ses-01,,rest,d,e,3,3,124,,0.17886152863502502,,0.13031088194299129,0.16536677292277735
ds004511:sub-S200131:ses-01_rest_run-01,sub-S200131,ses-01,,rest,e,m,3,3,124,,0.30531179904937744,,0.15778756442089234,0.17460520361219684
ds004511:sub-S200131:ses-01_rest_run-01,sub-S200131,ses-01,,rest,e,d,3,3,124,,0.2316318303346634,,0.13031088194299129,0.16536677292277735
ds004511:sub-S200131:ses-01_rest_run-01,sub-S200131,ses-01,,rest,e,e,3,3,124,0.061975539196282625,0.16970102488994598,25.964177273934887,,
ds004511:sub-S200131:ses-01_gambling_run-01,sub-S200131,ses-01,,gambling,m,m,3,3,1019,-0.01094734958958857,0.2275063544511795,109.8956656434936,,
ds004511:sub-S200131:ses-01_gambling_run-01,sub-S200131,ses-01,,gambling,m,d,3,3,1019,,0.21551166474819183,,0.1622461710743043,0.17585366654691448
ds004511:sub-S200131:ses-01_gambling_run-01,sub-S200131,ses-01,,gambling,m,e,3,3,1019,,0.17706841230392456,,0.15799068417893658,0.16182439878465968
ds004511:sub-S200131:ses-01_gambling_run-01,sub-S200131,ses-01,,gambling,d,m,3,3,1019,,0.25458693504333496,,0.1622461710743043,0.17585366654691448
ds004511:sub-S200131:ses-01_gambling_run-01,sub-S200131,ses-01,,gambling,d,d,3,3,1019,0.03310498145205116,0.2317219376564026,34.81412908338354,,
ds004511:sub-S200131:ses-01_gambling_run-01,sub-S200131,ses-01,,gambling,d,e,3,3,1019,,0.1867995411157608,,0.14150187983684848,0.16758243246067964
ds004511:sub-S200131:ses-01_gambling_run-01,sub-S200131,ses-01,,gambling,e,m,3,3,1019,,0.25852540135383606,,0.15799068417893658,0.16182439878465968
ds004511:sub-S200131:ses-01_gambling_run-01,sub-S200131,ses-01,,gambling,e,d,3,3,1019,,0.2460024356842041,,0.14150187983684848,0.16758243246067964
ds004511:sub-S200131:ses-01_gambling_run-01,sub-S200131,ses-01,,gambling,e,e,3,3,1019,-0.04680025293578607,0.18996962904930115,96.8912691750634,,
ds004511:sub-S200203:ses-01_cognitive_control_run-01,sub-S200203,ses-01,,cognitive_control,m,m,3,3,327,-0.005575491855951989,0.2107093632221222,65.75689428953585,,
ds004511:sub-S200203:ses-01_cognitive_control_run-01,sub-S200203,ses-01,,cognitive_control,m,d,3,3,327,,0.1809999942779541,,0.14231244180727443,0.1575172759979872
ds004511:sub-S200203:ses-01_cognitive_control_run-01,sub-S200203,ses-01,,cognitive_control,m,e,3,3,327,,0.15095549821853638,,0.12413675654736499,0.14773206689625706
ds004511:sub-S200203:ses-01_cognitive_control_run-01,sub-S200203,ses-01,,cognitive_control,d,m,3,3,327,,0.2318020761013031,,0.14231244180727443,0.1575172759979872
ds004511:sub-S200203:ses-01_cognitive_control_run-01,sub-S200203,ses-01,,cognitive_control,d,d,3,3,327,0.1024156004298672,0.20973065495491028,46.143482015402675,,
ds004511:sub-S200203:ses-01_cognitive_control_run-01,sub-S200203,ses-01,,cognitive_control,d,e,3,3,327,,0.19718396663665771,,0.11399582510284327,0.15920945743400752
ds004511:sub-S200203:ses-01_cognitive_control_run-01,sub-S200203,ses-01,,cognitive_control,e,m,3,3,327,,0.220679372549057,,0.12413675654736499,0.14773206689625706
ds004511:sub-S200203:ses-01_cognitive_control_run-01,sub-S200203,ses-01,,cognitive_control,e,d,3,3,327,,0.19548088312149048,,0.11399582510284327,0.15920945743400752
ds004511:sub-S200203:ses-01_cognitive_control_run-01,sub-S200203,ses-01,,cognitive_control,e,e,3,3,327,-0.10037394913500146,0.17392222583293915,66.6383707698332,,
ds004511:sub-S200203:ses-01_rest_run-01,sub-S200203,ses-01,,rest,m,m,3,3,125,-0.02645751514285803,0.1994667947292328,26.19558107948303,,
ds004511:sub-S200203:ses-01_rest_run-01,sub-S200203,ses-01,,rest,m,d,3,3,125,,0.20645920932292938,,0.14690086477994918,0.1694758967757225
ds004511:sub-S200203:ses-01_rest_run-01,sub-S200203,ses-01,,rest,m,e,3,3,125,,0.19281551241874695,,0.15377313876152038,0.16468521642684936
ds004511:sub-S200203:ses-01_rest_run-01,sub-S200203,ses-01,,rest,d,m,3,3,125,,0.22944550216197968,,0.14690086477994918,0.1694758967757225
ds004511:sub-S200203:ses-01_rest_run-01,sub-S200203,ses-01,,rest,d,d,3,3,125,-0.06360867939144373,0.22167207300662994,61.854205606460575,,
ds004511:sub-S200203:ses-01_rest_run-01,sub-S200203,ses-01,,rest,d,e,3,3,125,,0.21242478489875793,,0.13328686532378198,0.17372611525654794
ds004511:sub-S200203:ses-01_rest_run-01,sub-S200203,ses-01,,rest,e,m,3,3,125,,0.23908524215221405,,0.15377313876152038,0.16468521642684936
ds004511:sub-S200203:ses-01_rest_run-01,sub-S200203,ses-01,,rest,e,d,3,3,125,,0.21607397496700287,,0.13328686532378198,0.17372611525654794
ds004511:sub-S200203:ses-01_rest_run-01,sub-S200203,ses-01,,rest,e,e,3,3,125,0.09315225387364626,0.20528548955917358,49.7005527639389,,
ds004511:sub-S200205:ses-01_cognitive_control_run-01,sub-S200205,ses-01,,cognitive_control,m,m,3,3,266,-0.0002722131995190131,0.19780759513378143,145.439067554205,,
ds004511:sub-S200205:ses-01_cognitive_control_run-01,sub-S200205,ses-01,,cognitive_control,m,d,3,3,266,,0.14418603479862213,,0.12595806859741757,0.1505673681070706
ds004511:sub-S200205:ses-01_cognitive_control_run-01,sub-S200205,ses-01,,cognitive_control,m,e,3,3,266,,0.15187320113182068,,0.13921344049162881,0.15007762036713443
ds004511:sub-S200205:ses-01_cognitive_control_run-01,sub-S200205,ses-01,,cognitive_control,d,m,3,3,266,,0.2338864654302597,,0.12595806859741757,0.1505673681070706
ds004511:sub-S200205:ses-01_cognitive_control_run-01,sub-S200205,ses-01,,cognitive_control,d,d,3,3,266,-0.05376653102072502,0.17838343977928162,18.554149293809907,,
ds004511:sub-S200205:ses-01_cognitive_control_run-01,sub-S200205,ses-01,,cognitive_control,d,e,3,3,266,,0.18404555320739746,,0.11483810342764272,0.14387342920596885
ds004511:sub-S200205:ses-01_cognitive_control_run-01,sub-S200205,ses-01,,cognitive_control,e,m,3,3,266,,0.23981869220733643,,0.13921344049162881,0.15007762036713443
ds004511:sub-S200205:ses-01_cognitive_control_run-01,sub-S200205,ses-01,,cognitive_control,e,d,3,3,266,,0.17889456450939178,,0.11483810342764272,0.14387342920596885
ds004511:sub-S200205:ses-01_cognitive_control_run-01,sub-S200205,ses-01,,cognitive_control,e,e,3,3,266,0.021778999047031754,0.1931716650724411,64.93356256018905,,
ds004511:sub-S200205:ses-01_rest_run-01,sub-S200205,ses-01,,rest,m,m,3,3,126,-0.020459846999969274,0.23855353891849518,53.97483796921988,,
ds004511:sub-S200205:ses-01_rest_run-01,sub-S200205,ses-01,,rest,m,d,3,3,126,,0.23831669986248016,,0.1382004971364661,0.18365635663744004
ds004511:sub-S200205:ses-01_rest_run-01,sub-S200205,ses-01,,rest,m,e,3,3,126,,0.14336389303207397,,0.13768482778871816,0.13952249749785378
ds004511:sub-S200205:ses-01_rest_run-01,sub-S200205,ses-01,,rest,d,m,3,3,126,,0.21123184263706207,,0.1382004971364661,0.18365635663744004
