subject_id,session_id,condition_label,task_label,network_label,source_block,target_block,n_timepoints,block_trace_mean,block_frobenius_mean,block_anisotropy_mean,c_sym_mean,c_rot_mean
sub-S200116,ses-01,,cognitive_control,central,e,e,227,0.014834071509540081,0.6818527579307556,32.44419524086846,,
sub-S200116,ses-01,,cognitive_control,parietal_occipital,m,m,227,0.03616409748792648,0.9441477060317993,54.809168553882174,,
sub-S200116,ses-01,,cognitive_control,parietal_occipital,m,d,227,,0.863159716129303,,0.6726079103681776,0.6718685473998388
sub-S200116,ses-01,,cognitive_control,parietal_occipital,m,e,227,,0.7382694482803345,,0.5596561894814174,0.5594880227247874
sub-S200116,ses-01,,cognitive_control,parietal_occipital,d,m,227,,0.9604783654212952,,0.6726079103681776,0.6718685473998388
sub-S200116,ses-01,,cognitive_control,parietal_occipital,d,d,227,0.04552054405212402,0.9396820664405823,129.01572578218247,,
sub-S200116,ses-01,,cognitive_control,parietal_occipital,d,e,227,,0.7756492495536804,,0.5507148844665951,0.5595607384045919
sub-S200116,ses-01,,cognitive_control,parietal_occipital,e,m,227,,0.799156904220581,,0.5596561894814174,0.5594880227247874
sub-S200116,ses-01,,cognitive_control,parietal_occipital,e,d,227,,0.7518276572227478,,0.5507148844665951,0.5595607384045919
sub-S200116,ses-01,,cognitive_control,parietal_occipital,e,e,227,0.04141901060938835,0.6058177351951599,25.20012907187144,,
sub-S200116,ses-01,,cognitive_control,temporal,m,m,227,-0.05969288572669029,0.7128861546516418,42.45694451014201,,
sub-S200116,ses-01,,cognitive_control,temporal,m,d,227,,0.7188809514045715,,0.8205916701422797,0.8244828382465574
sub-S200116,ses-01,,cognitive_control,temporal,m,e,227,,0.544887363910675,,0.5499710039628877,0.5845835973156823
sub-S200116,ses-01,,cognitive_control,temporal,d,m,227,,1.4159971475601196,,0.8205916701422797,0.8244828382465574
sub-S200116,ses-01,,cognitive_control,temporal,d,d,227,0.026092709973454475,1.2315400838851929,107.05876328786213,,
sub-S200116,ses-01,,cognitive_control,temporal,d,e,227,,1.1209897994995117,,0.7146372374561097,0.7406571337249543
sub-S200116,ses-01,,cognitive_control,temporal,e,m,227,,0.9659571647644043,,0.5499710039628877,0.5845835973156823
sub-S200116,ses-01,,cognitive_control,temporal,e,d,227,,0.827320396900177,,0.7146372374561097,0.7406571337249543
sub-S200116,ses-01,,cognitive_control,temporal,e,e,227,-0.018017485737800598,0.6821722388267517,47.39590003702376,,
sub-S200116,ses-01,,gambling,frontal,m,m,875,-0.01506113912910223,1.0662641525268555,825.4878121615822,,
sub-S200116,ses-01,,gambling,frontal,m,d,875,,1.046247959136963,,0.7009557900013657,0.6969232275348075
sub-S200116,ses-01,,gambling,frontal,m,e,875,,0.9950816631317139,,0.6784606628026066,0.6911629569318832
sub-S200116,ses-01,,gambling,frontal,d,m,875,,0.8671383261680603,,0.7009557900013657,0.6969232275348075
sub-S200116,ses-01,,gambling,frontal,d,d,875,-0.04361700266599655,0.9052858352661133,49.649206731327624,,
sub-S200116,ses-01,,gambling,frontal,d,e,875,,0.830676257610321,,0.6146917960522238,0.6225228081761357
sub-S200116,ses-01,,gambling,frontal,e,m,875,,0.8706576228141785,,0.6784606628026066,0.6911629569318832
sub-S200116,ses-01,,gambling,frontal,e,d,875,,0.8750673532485962,,0.6146917960522238,0.6225228081761357
sub-S200116,ses-01,,gambling,frontal,e,e,875,0.018204180523753166,0.8257172703742981,43.432853550708856,,
sub-S200116,ses-01,,gambling,central,m,m,875,-0.003184688976034522,1.0350247621536255,141.8474458454674,,
sub-S200116,ses-01,,gambling,central,m,d,875,,1.1292896270751953,,0.7353229274523081,0.7374463782550816
sub-S200116,ses-01,,gambling,central,m,e,875,,1.067461609840393,,0.6924531158200654,0.6866633284235328
sub-S200116,ses-01,,gambling,central,d,m,875,,0.881794273853302,,0.7353229274523081,0.7374463782550816
sub-S200116,ses-01,,gambling,central,d,d,875,-0.04145083576440811,0.9173791408538818,111.65477968015024,,
sub-S200116,ses-01,,gambling,central,d,e,875,,0.8971238136291504,,0.6344995429528129,0.6441761030466696
sub-S200116,ses-01,,gambling,central,e,m,875,,0.7996006011962891,,0.6924531158200654,0.6866633284235328
sub-S200116,ses-01,,gambling,central,e,d,875,,0.8648504018783569,,0.6344995429528129,0.6441761030466696
sub-S200116,ses-01,,gambling,central,e,e,875,-0.025092218071222305,0.8480864763259888,113.15017347742739,,
sub-S200116,ses-01,,gambling,parietal_occipital,m,m,875,-0.06297241896390915,1.0531487464904785,62.496738521230725,,
sub-S200116,ses-01,,gambling,parietal_occipital,m,d,875,,1.0432289838790894,,0.7258301322846614,0.7287247050873602
sub-S200116,ses-01,,gambling,parietal_occipital,m,e,875,,0.935175359249115,,0.6741708819706416,0.6763331061922534
sub-S200116,ses-01,,gambling,parietal_occipital,d,m,875,,0.9475592374801636,,0.7258301322846614,0.7287247050873602
sub-S200116,ses-01,,gambling,parietal_occipital,d,d,875,0.026286764070391655,0.950127124786377,71.85708330799713,,
sub-S200116,ses-01,,gambling,parietal_occipital,d,e,875,,0.8536295890808105,,0.6349443800807135,0.6457065632662822
sub-S200116,ses-01,,gambling,parietal_occipital,e,m,875,,0.9109047055244446,,0.6741708819706416,0.6763331061922534
sub-S200116,ses-01,,gambling,parietal_occipital,e,d,875,,0.9110122919082642,,0.6349443800807135,0.6457065632662822
sub-S200116,ses-01,,gambling,parietal_occipital,e,e,875,-0.02098320610821247,0.8300021886825562,40.98613361066969,,
sub-S200116,ses-01,,gambling,temporal,m,m,875,-0.004273382481187582,0.9494262337684631,142.20571015776912,,
sub-S200116,ses-01,,gambling,temporal,m,d,875,,0.8335840702056885,,0.6898060371546675,0.7017848252533228
sub-S200116,ses-01,,gambling,temporal,m,e,875,,0.8613260388374329,,0.6595275738838748,0.6714616678185752
sub-S200116,ses-01,,gambling,temporal,d,m,875,,1.0610405206680298,,0.6898060371546675,0.7017848252533228
sub-S200116,ses-01,,gambling,temporal,d,d,875,-0.020257428288459778,0.9569560289382935,71.45691870386794,,
sub-S200116,ses-01,,gambling,temporal,d,e,875,,1.0321310758590698,,0.6782100056932827,0.6777555816396132
sub-S200116,ses-01,,gambling,temporal,e,m,875,,0.9542867541313171,,0.6595275738838748,0.6714616678185752
sub-S200116,ses-01,,gambling,temporal,e,d,875,,0.8247450590133667,,0.6782100056932827,0.6777555816396132
sub-S200116,ses-01,,gambling,temporal,e,e,875,-0.057090044021606445,0.8313964009284973,58.34402085538582,,
sub-S200116,ses-01,,rest,frontal,m,m,126,0.041324224323034286,1.0439784526824951,62.64225535623489,,
