subject_id,task_label,r_resp_frobenius,p_resp_frobenius,r_resp_rotation,p_resp_rotation,n_epochs_resp_ok
sub-S210209,rest,-0.19501018721408525,0.03592612583208078,-0.10883020028447316,0.2448696598846233,116
sub-S210215,cognitive_control,-0.013294472810754502,0.8330095735120915,-0.024890384400624646,0.6929964072196393,254
sub-S210215,gambling,0.017454312961770035,0.6142955061323727,0.016750488322115866,0.6286504158146924,836
sub-S210215,rest,0.16859424359424358,0.07692258170241266,0.11267988767988768,0.23900723300359494,111
sub-S210217,cognitive_control,-0.030799744791811145,0.6385372089346817,-0.0919470720408333,0.16002603924448924,235
sub-S210217,gambling,0.11223611725919672,0.0015159096088351361,0.06893319370222957,0.05188322833529647,796
sub-S210217,rest,0.2873850868232891,0.006319652308065968,0.2088866189989786,0.049471690498835624,89
sub-S210224,cognitive_control,0.11915725817637103,0.06824164582411747,0.09339602577972572,0.15351618531689085,235
sub-S210224,gambling,0.046636837463122444,0.23983940001718307,0.0019546862654958204,0.960730265054505,637
sub-S210224,rest,0.09741109530583215,0.40573893551272666,0.031266002844950215,0.7900168301991026,75
sub-S210225,cognitive_control,0.035051510143806475,0.5897433629264831,0.01979712387046869,0.7607611796865571,239
sub-S210225,gambling,0.0931188594760334,0.008737510507061405,0.06643554714061024,0.06165427119614494,792
sub-S210225,rest,-0.15974025974025974,0.4891511154734236,-0.26103896103896107,0.2530648119666414,21
sub-S210315,cognitive_control,-0.05018676134412267,0.4221421497925293,-0.039821340789578955,0.5242732449253664,258
sub-S210315,gambling,-0.05979318021958978,0.08074909075833735,-0.07060027983976044,0.03913884971601852,854
sub-S210315,rest,0.10293014533520864,0.3635813322726966,-0.047187060478199726,0.6776712146758532,80
sub-S210316,cognitive_control,0.1126205837173579,0.2111282141764955,0.08020890937019969,0.37390234515827037,125
sub-S210316,gambling,0.028716044596386724,0.5082652152230487,0.03795417776897923,0.38184702300969675,533
sub-S210316,rest,0.09612403100775192,0.5347978371468183,0.10147991543340382,0.5121727008495917,44
sub-S210317,cognitive_control,0.10255622486493948,0.1209112155322121,0.10612759179305599,0.10843395500011946,230
sub-S210317,gambling,0.08118917794043562,0.029607043783732013,0.042849029715775755,0.25151046311433495,718
sub-S210317,rest,0.21451567749160136,0.03684037510515623,0.15162374020156774,0.14243695444653265,95
